lsoa_code,borough,major_category,minor_category,value,year,month
E01001116,Croydon,Burglary,Burglary in Other Buildings,0,2016,11
E01001646,Greenwich,Violence Against the Person,Other violence,0,2016,11
E01003774,Redbridge,Burglary,Burglary in Other Buildings,0,2016,3
E01004177,Sutton,Theft and Handling,Theft/Taking of Pedal Cycle,1,2016,8
E01002398,Hillingdon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,2
E01002945,Kingston upon Thames,Theft and Handling,Theft From Shops,0,2016,11
E01003325,Lewisham,Violence Against the Person,Common Assault,0,2016,2
E01000733,Bromley,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,4
E01002006,Haringey,Criminal Damage,Criminal Damage To Other Building,0,2016,12
E01003989,Southwark,Theft and Handling,Theft From Shops,4,2016,8
E01004346,Waltham Forest,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,3
E01001600,Greenwich,Burglary,Burglary in Other Buildings,0,2016,11
E01002804,Islington,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,6
E01001807,Hackney,Theft and Handling,Other Theft Person,0,2016,8
E01001162,Croydon,Robbery,Personal Property,0,2016,1
E01003484,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,3
E01004093,Sutton,Violence Against the Person,Wounding/GBH,0,2016,7
E01001806,Hackney,Robbery,Business Property,0,2016,7
E01002276,Havering,Burglary,Burglary in a Dwelling,1,2016,8
E01002938,Kingston upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,5
E01003067,Lambeth,Violence Against the Person,Offensive Weapon,0,2016,4
E01001139,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,3
E01002740,Islington,Sexual Offences,Other Sexual,0,2016,10
E01004424,Waltham Forest,Violence Against the Person,Other violence,0,2016,9
E01003165,Lambeth,Violence Against the Person,Other violence,0,2016,7
E01002884,Kensington and Chelsea,Other Notifiable Offences,Other Notifiable,0,2016,10
E01002550,Hillingdon,Violence Against the Person,Other violence,0,2016,11
E01003674,Redbridge,Drugs,Possession Of Drugs,2,2016,11
E01004750,Westminster,Theft and Handling,Theft From Motor Vehicle,6,2016,8
E01004314,Tower Hamlets,Robbery,Personal Property,0,2016,10
E01004298,Tower Hamlets,Burglary,Burglary in a Dwelling,0,2016,3
E01000392,Bexley,Theft and Handling,Other Theft Person,0,2016,8
E01001902,Hammersmith and Fulham,Drugs,Possession Of Drugs,1,2016,2
E01003128,Lambeth,Criminal Damage,Criminal Damage To Other Building,0,2016,7
E01004476,Wandsworth,Criminal Damage,Criminal Damage To Dwelling,0,2016,12
E01002822,Kensington and Chelsea,Theft and Handling,Other Theft,2,2016,9
E01001210,Ealing,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,1
E01002231,Harrow,Drugs,Possession Of Drugs,0,2016,11
E01004598,Wandsworth,Theft and Handling,Handling Stolen Goods,0,2016,2
E01002365,Havering,Violence Against the Person,Harassment,1,2016,8
E01033463,Brent,Theft and Handling,Other Theft Person,1,2016,12
E01001297,Ealing,Other Notifiable Offences,Other Notifiable,0,2016,12
E01000289,Barnet,Theft and Handling,Handling Stolen Goods,0,2016,4
E01004402,Waltham Forest,Violence Against the Person,Common Assault,0,2016,6
E01001898,Hammersmith and Fulham,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,12
